index,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
BDLL3,BDLL3,ON,BAEDELLA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,11.86,2022-12-07,9.90,13.19,3316,18976000,240563000,2022-09-30,1600000,345,-010,-060,076,003,-027,-004,0.0%,-863,-765,-33.6%,344,-11334,-49.2%,-125.1%,21.9%,-4.7%,-5.0%,-3.0%,084,-123,004,662571000,815000,362275000,222402000,221587000,-181341000,25117000,-31427000,5505000,3672000,-9585000,16218000,,,,,,
EALT4,EALT4,PN,ELECTRO AÇO ALTONA S/A PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,6.67,2022-12-12,5.15,9.25,183458,150075000,268661000,2022-09-30,22500000,347,073,278,031,029,-1186,-127,18.8%,384,498,17.7%,192,910,23.5%,11.1%,8.9%,10.3%,11.4%,21.1%,094,063,093,523098000,9549000,200341000,128135000,118586000,204685000,486544000,53933000,43200000,123208000,11684000,6944000,,,,,,
MTSA4,MTSA4,PN,METISA PN,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,39.00,2022-12-12,34.23,47.85,148412,342799000,294830000,2022-09-30,8789730,417,092,305,044,060,125,130,6.8%,242,263,31.6%,936,4237,29.5%,14.5%,10.6%,19.7%,27.5%,22.1%,246,018,136,569726000,113613000,461937000,65643300,-47969800,372456000,774873000,112303000,82265700,228710000,38570800,27739700,,,,,,
EALT3,EALT3,ON,ELECTRO AÇO ALTONA S/A ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,9.11,2022-12-12,7.02,11.49,833,204975000,323561000,2022-09-30,22500000,474,100,380,042,039,-1619,-174,12.5%,463,600,17.7%,192,910,23.5%,11.1%,8.9%,10.3%,11.4%,21.1%,094,063,093,523098000,9549000,200341000,128135000,118586000,204685000,486544000,53933000,43200000,123208000,11684000,6944000,,,,,,
KEPL3,KEPL3,ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,19.41,2022-12-12,9.78,25.08,23987200,1744180000,1593020000,2022-09-30,89860000,493,276,377,101,133,492,666,10.3%,324,344,32.8%,394,703,35.9%,26.7%,20.5%,35.2%,50.8%,56.1%,160,023,132,1314360000,298654000,944675000,147495000,-151159000,631379000,1730300000,462656000,353927000,515754000,141925000,115648000,,,,,,
ROMI3,ROMI3,ON,ROMI ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,13.12,2022-12-12,9.99,17.17,10677900,1058350000,1520650000,2022-09-30,80667000,579,104,506,071,049,173,634,5.7%,589,727,22.8%,226,1261,31.3%,14.0%,12.2%,9.6%,11.5%,18.0%,186,061,069,2178000000,152968000,1326290000,615264000,462296000,1016970000,1498920000,209253000,182681000,398690000,67602000,64792000,,,,,,
SHUL4,SHUL4,PN,SCHULZ PN,Máquinas e Equipamentos,"Motores, Compressores e Outros",4.47,2022-12-12,3.59,5.17,2216900,1597470000,1958150000,2022-09-30,357375000,638,153,550,080,069,164,692,3.3%,556,674,22.7%,070,291,25.3%,14.5%,12.5%,12.6%,17.3%,24.0%,284,081,086,2312190000,480986000,1501560000,841665000,360679000,1041630000,1998430000,290530000,250334000,599339000,115784000,84261000,,,,,,
WEGE3,WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",36.07,2022-12-12,22.65,40.90,340846000,151397000000,151089000000,2022-09-30,4197320000,3893,1090,2922,532,547,1729,2466,1.4%,2635,2916,26.6%,093,331,28.4%,18.2%,13.9%,18.7%,24.5%,28.0%,181,028,103,27697500000,4142930000,19548400000,3835040000,-307886000,13894500000,28465100000,5182090000,3888950000,7911190000,1624660000,1158030000,,,,,,
SNSY5,SNSY5,PNA,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA,Materiais Diversos,Materiais Diversos,2.99,2022-12-08,2.63,5.25,8314,23070800,144549000,2022-09-30,7716000,-014,-001,-112,003,005,-053,-001,0.0%,-6664,-701,20.0%,-2212,-20836,17.4%,-2.5%,-20.9%,-4.5%,-5.3%,10.6%,086,-008,178,462610000,6004000,272043000,127482000,121478000,-1607740000,821641000,-20614000,-170705000,226458000,-1097000,-42799000,,,,,,
RCSL3,RCSL3,ON,RECRUSUL ON,Material de Transporte,Material Rodoviário,2.14,2022-12-12,1.82,11.40,351903,81131700,80226700,2022-09-30,37912000,-2611,-208,38451,115,123,1332,-109,0.0%,6106,38022,151.2%,-008,-103,11.4%,0.3%,-4.4%,0.3%,0.3%,8.0%,125,-000,107,65721000,911000,30266000,6000,-905000,-39014000,70443000,211000,-3107000,14636000,-94000,-958000,,,,,,
